Aegla denticulata denticulata,Aegla denticulata,,,,,,,,,,,,,,,,,
Axius vivesi,Neaxius vivesi,,,,,,,,,,,,,,,,,
Calcinus tibicen,Gilvossius setimanus,,,,,,,,,,,,,,,,,
Callianqssa tyrrhena,Callianassa tyrrhena,,,,,,,,,,,,,,,,,
Cambarus bartoni,Cambarus bartonii,,,,,,,,,,,,,,,,,
Cliopagurus galzini,Ciliopagurus galzini,,,,,,,,,,,,,,,,,
Cliopagurus strigatus,Ciliopagurus strigatus,,,,,,,,,,,,,,,,,
Cliopagurus tricolor,Ciliopagurus tricolor,,,,,,,,,,,,,,,,,
Cliopagurus vakovako,Ciliopagurus vakovako,,,,,,,,,,,,,,,,,
Hapalogaster dentatus,Hapalogaster dentata,,,,,,,,,,,,,,,,,
Hapalogastrinae,Dermaturus,Hapalogaster,Oedignathus,,,,,,,,,,,,,,,
Lithodinae,Lithodes,Lopholithodes,Neolithodes,Paralithodes,Paralomis,Phyllolithodes,Glyptolithodes,Cryptolithodes,,,,,,,,,,
Odeignathus inermis,Oedignathus inermis,,,,,,,,,,,,,,,,,
Palaemon elegans,Macrobrachium sintangense,,,,,,,,,,,,,,,,,
Petrolisthes lewisi austrinsus,Petrolisthes lewisi,,,,,,,,,,,,,,,,,
Procamharus clarkii,Procambarus clarkii,,,,,,,,,,,,,,,,,
Aegla uruguyana,Aegla uruguayana,,,,,,,,,,,,,,,,,
Bythiopagurus macroculus,Bythiopagurus macrocolus,,,,,,,,,,,,,,,,,
Clibanarius merguiensisy,Clibanarius merguiensis,,,,,,,,,,,,,,,,,
Heteronida spinirostris,Heteronida aspinirostris,,,,,,,,,,,,,,,,,
Jaxea nocnturna,Jaxea nocturna,,,,,,,,,,,,,,,,,
Lepidopa daemae,Lepidopa deamae,,,,,,,,,,,,,,,,,
Cancer japonica,Anatolikos japonicus,,,,,,,,,,,,,,,,,
Cheiroplatea laticauda,Cheiroplatea laticaudata,,,,,,,,,,,,,,,,,
Clibanarius albidigitatus,Clibanarius albidigitus,,,,,,,,,,,,,,,,,
Coenobita compressus,Coenobita compressa,,,,,,,,,,,,,,,,,
Eiconaxius indicus,Eiconaxius indica,,,,,,,,,,,,,,,,,
Jonas distincta,Jonas distinctus,,,,,,,,,,,,,,,,,
Lepidopa californicus,Lepidopa californica,,,,,,,,,,,,,,,,,
Lithodes aequispina,Lithodes aequispinus,,,,,,,,,,,,,,,,,
Pagurus hirsuticusulus,Pagurus hirsutiusculus,,,,,,,,,,,,,,,,,
Petrolisthes magdalensis,Petrolisthes magdalenensis,,,,,,,,,,,,,,,,,
Uroptychus nitida,Uroptychus nitidus,,,,,,,,,,,,,,,,,
Ellasochirus tenulmanus,Elassochirus tenuimanus,,,,,,,,,,,,,,,,,
Aegla schmitti,Aegla schmitii,,,,,,,,,,,,,,,,,
Astacoides madagascarensis,Astacoides madagascariensis,,,,,,,,,,,,,,,,,
Bathymunida ballssi,Bathymunida balssi,,,,,,,,,,,,,,,,,
Calcinus verrilli,Calcinus verrillii,,,,,,,,,,,,,,,,,
Callianassa jamaiciense,Lepidophthalmus jamaicense,,,,,,,,,,,,,,,,,
Hepatus ephileticus,Hepatus epheliticus,,,,,,,,,,,,,,,,,
Latreilla elegans,Latreillia elegans,,,,,,,,,,,,,,,,,
Munida ofella,Munida offella,,,,,,,,,,,,,,,,,
Neopisossoma angustifrons,Neopisosoma angustifrons,,,,,,,,,,,,,,,,,
Paguristes wedelli,Paguristes weddellii,,,,,,,,,,,,,,,,,
Pagurus mclaughlinae,Pagurus maclaughlinae,,,,,,,,,,,,,,,,,
Paramola japonica,Paromola japonica,,,,,,,,,,,,,,,,,
Paramunida thaliae,Paramunida thalie,,,,,,,,,,,,,,,,,
Aegla denticulata lacustris,Aegla denticulata,,,,,,,,,,,,,,,,,
Aegla laevis laevis,Aegla laevis,,,,,,,,,,,,,,,,,
Aegla laevis talcahuano,Aegla laevis,,,,,,,,,,,,,,,,,
Aeglidae,Aegla,,,,,,,,,,,,,,,,,
Blepharipodidae,Blepharipoda,Lophomastix,,,,,,,,,,,,,,,,
Chirostylidae,Chirostylus,Gastroptychus,Uroptychus,,,,,,,,,,,,,,,
Coenobitidae,Birgus,Coenobita,,,,,,,,,,,,,,,,
Diogenidae,Aniculus,Areopaguristes,Calcinus,Cancellus,Ciliopagurus,Clibanarius,Dardanus,Diogenes,Isocheles,Loxopagurus,Paguristes,Petrochirus,Pseudopaguristes,Strigopagurus,,,,
Paguristes pilosus,Areopaguristes pilosus,,,,,,,,,,,,,,,,,
Paguristes calliopsis,Pseudopaguristes calliopsis,,,,,,,,,,,,,,,,,
Albunea occultus,Albunea occulta,,,,,,,,,,,,,,,,,
Callianassa filholi,Biffarius filholi,,,,,,,,,,,,,,,,,
Cancer japonicus,Anatolikos japonicus,,,,,,,,,,,,,,,,,
Galathea californiensis,Janetogalathea californiensis,,,,,,,,,,,,,,,,,
Justitia japonica,Nupalirus japonicus,,,,,,,,,,,,,,,,,
Laurentiella,Saintlaurentiella,,,,,,,,,,,,,,,,,
Macropipus puber,Necora puber,,,,,,,,,,,,,,,,,
Munida callista,Babamunida callista,,,,,,,,,,,,,,,,,
Munida leviantennata,Enriquea leviantennata,,,,,,,,,,,,,,,,,
Munida longipes,Agononida longipes,,,,,,,,,,,,,,,,,
Munida rubrodigitalis,Munida rubridigitalis,,,,,,,,,,,,,,,,,
Munida subrugosa,Munida gregaria,,,,,,,,,,,,,,,,,
Pachycheles haigae,Pachycheles laevidactylus,,,,,,,,,,,,,,,,,
Paralithodes camtschatica,Paralithodes camtschaticus,,,,,,,,,,,,,,,,,
Philyra pisum,Pyrhila pisum,,,,,,,,,,,,,,,,,
Polycheles aculeatus,Stereomastis aculeata,,,,,,,,,,,,,,,,,
Polycheles galil,Stereomastis galil,,,,,,,,,,,,,,,,,
Polycheles suhmi,Stereomastis suhmi,,,,,,,,,,,,,,,,,
Pylocheles crosnieri,Bathycheles crosnieri,,,,,,,,,,,,,,,,,
Pylocheles cubensis,Bathycheles cubensis,,,,,,,,,,,,,,,,,
Pylocheles incisus,Bathycheles incisus,,,,,,,,,,,,,,,,,
Pylocheles integer,Bathycheles integer,,,,,,,,,,,,,,,,,
Pylocheles macrops,Xylocheles macrops,,,,,,,,,,,,,,,,,
Pylocheles miersi,Xylocheles miersi,,,,,,,,,,,,,,,,,
Pylocheles profundus,Bathycheles integer,,,,,,,,,,,,,,,,,
Sergio mericeae,Sergio guassutinga,,,,,,,,,,,,,,,,,
Sicyonia cristata,Sicyonia lancifer,,,,,,,,,,,,,,,,,
Squillalbunea mariellae,Squillalbunea scutelloides,,,,,,,,,,,,,,,,,
Trizocheles gracilis,Trizocheles boasi,,,,,,,,,,,,,,,,,
Trizocheles perplexus,Forestocheles perplexus,,,,,,,,,,,,,,,,,
Trizocheles spinosus bathamae,Trizocheles spinosus,,,,,,,,,,,,,,,,,
Trizocheles spinosus spinosus,Trizocheles spinosus,,,,,,,,,,,,,,,,,
Plesionida concava n. sp.,Plesionida concava,,,,,,,,,,,,,,,,,
Petrolisthes galathinus var. 1,Petrolisthes galathinus,,,,,,,,,,,,,,,,,
Petrolisthes galathinus var. 2,Petrolisthes galathinus,,,,,,,,,,,,,,,,,
Petrolisthes galathinus var. 3,Petrolisthes galathinus,,,,,,,,,,,,,,,,,
Petrolisthes galathinus var. 4,Petrolisthes galathinus,,,,,,,,,,,,,,,,,
Petrolisthes galathinus var. 5,Petrolisthes galathinus,,,,,,,,,,,,,,,,,
Petrolisthes galathinus var. 6,Petrolisthes galathinus,,,,,,,,,,,,,,,,,
Petrolisthes galathinus var. 7,Petrolisthes galathinus,,,,,,,,,,,,,,,,,
Paramunida salai n. sp.,Paramunida salai,,,,,,,,,,,,,,,,,
Paramunida lophia n. sp.,Paramunida lophia,,,,,,,,,,,,,,,,,
Munida oblongata n. sp.,Munida oblongata,,,,,,,,,,,,,,,,,
Munida mendagnai n. sp.,Munida mendagnai,,,,,,,,,,,,,,,,,
Munida lailai n. sp.,Munida lailai,,,,,,,,,,,,,,,,,
Munida caeli n. sp.,Munida caeli,,,,,,,,,,,,,,,,,
Acanthephyra eximea,Acanthephyra eximia,,,,,,,,,,,,,,,,,
Axius glyptocercus,Neaxius glyptocercus,,,,,,,,,,,,,,,,,
Dromiidae,Conchoecetes,Lauridromia,,,,,,,,,,,,,,,,
Galatheidae,Alainius,Allogalathea,Galathea,Janetogalathea,,,,,,,,,,,,,,
Hippidae,Emerita,Hippa,,,,,,,,,,,,,,,,
Kiwaidae,Kiwa,,,,,,,,,,,,,,,,,
Lomisidae,Lomis,,,,,,,,,,,,,,,,,
Paguridae,Bythiopagurus,Catapagurus,Discorsopagurus,Elassochirus,Icelopagurus,Labidochirus,Lithopagurus,Michelopagurus,Nematopagurus,Pagurodofleinia,Pagurus,Phimochirus,Porcellanopagurus,Propagurus,Pylopagurus,Spiropagurus,Xylopagurus,
Parapaguridae,Oncopagurus,Paragiopagurus,Parapagurus,Probeebei,Strobopagurus,Sympagurus,,,,,,,,,,,,
Porcellanidae,Aliaporcellana,Allopetrolisthes,Clastotoechus,Euceramus,Liopetrolisthes,Lissoporcellana,Megalobrachium,Neopetrolisthes,Neopisosoma,Novorostrum,Pachycheles,Parapetrolisthes,Petrocheles,Petrolisthes,Pisidia,Polyonyx,Porcellana,Porcellanella
Pylochelidae,Pomatocheles,Parapylocheles,Mixtopagurus,Cancellocheles,Forestocheles,Bathycheles,Cheiroplatea,Pylocheles,Xylocheles,,,,,,,,,
